ID,COO,Household Sex,Poverty Threshold,Governerate,ChildAge,ChildSex,Unaccompanied and Separated Children,special protection needs,Children with disability
391,SYR,M,,Irbid,0,M,,,
392,SYR,F,absolute,Irbid,1,F,,,
393,SYR,M,,IRBID,17,M,,,
394,SYR,M,,Ajloun,12,M,,,
395,SYR,M,absolute,Irbid,17,F,,,
396,SYR,M,,IRBID,15,M,,,
397,SYR,M,,IRBID,5,F,,,
398,SYR,M,,IRBID,11,F,,,
399,SYR,F,absolute,Irbid,14,M,,,
400,SYR,F,absolute,Irbid,3,F,,,
401,SYR,M,,IRBID,6,M,,,
402,SYR,M,abject,Irbid,8,M,,,
403,SYR,F,absolute,Irbid,3,M,,,
404,SYR,F,absolute,Irbid,14,M,,,
405,SYR,F,absolute,Irbid,13,M,,,
406,SYR,M,,IRBID,6,M,,,
407,SYR,M,,IRBID,10,M,,,
408,SYR,F,absolute,Irbid,5,F,,,
409,SYR,F,absolute,Irbid,10,M,,,
410,SYR,M,,Ajloun,3,M,,,
411,SYR,F,absolute,Irbid,12,M,,,
412,SYR,F,,Ajloun,7,M,,,DS
413,SYR,M,absolute,Irbid,16,M,,,DS
414,SYR,M,,IRBID,5,M,,,
415,SYR,F,absolute,Irbid,7,F,,,
416,SYR,M,,IRBID,16,M,,,
417,SYR,F,,IRBID,3,F,,,
418,SYR,M,abject,Irbid,11,M,,,
419,SYR,F,absolute,Irbid,9,M,,,
420,SYR,M,,IRBID,16,F,,,
421,SYR,F,,Irbid,13,M,,,
422,SYR,M,abject,Irbid,7,M,,,
423,SYR,M,,IRBID,3,F,,,
424,SYR,F,,IRBID,11,F,,,
425,SYR,F,absolute,Irbid,9,M,,,
426,SYR,F,absolute,Irbid,6,F,,,
427,SYR,M,,IRBID,12,F,,,
428,SYR,M,,IRBID,16,M,,,
429,SYR,F,absolute,Irbid,8,F,,,
430,SYR,M,,IRBID,2,M,,,
431,SYR,M,abject,Irbid,13,F,,,
432,SYR,F,absolute,Irbid,3,F,,,
433,SYR,M,absolute,Irbid,7,F,,,
434,SYR,F,absolute,Irbid,5,F,,,
435,SYR,M,abject,Irbid,17,M,,,
436,SYR,F,,IRBID,17,M,,,
437,SYR,F,,IRBID,15,F,,,
438,SYR,F,absolute,Irbid,2,F,,,
439,SYR,F,,IRBID,17,F,,,
440,SYR,M,abject,Irbid,13,M,,,
441,SYR,M,,IRBID,7,M,,,
442,SYR,M,abject,Irbid,16,M,,,
443,SYR,M,abject,Irbid,17,F,,,
444,SYR,M,,IRBID,14,F,,,
445,SYR,M,absolute,Irbid,13,M,,,
446,SYR,M,abject,Irbid,13,F,,,
447,SYR,M,,IRBID,11,F,,,
448,SYR,M,,IRBID,13,M,,,DS
449,SYR,M,,IRBID,4,M,,,
450,SYR,F,abject,Irbid,12,M,,,
451,SYR,F,abject,Irbid,5,M,,,
452,SYR,M,absolute,Irbid,12,M,,,
453,SYR,M,absolute,Irbid,6,M,,,
454,SYR,F,absolute,Irbid,7,M,,,
455,SYR,F,,IRBID,16,M,,,
456,SYR,F,,IRBID,7,M,,,
457,SYR,M,abject,Irbid,2,M,,,
458,SYR,M,abject,Irbid,11,F,,,
459,SYR,M,abject,Irbid,8,M,,,
460,SYR,F,absolute,Irbid,12,F,,,
461,SYR,M,,IRBID,11,M,,,
462,SYR,M,,IRBID,9,F,,,
463,SYR,M,,IRBID,7,M,,,
464,SYR,M,,IRBID,14,F,,,
465,SYR,M,abject,Irbid,10,F,,,
466,SYR,F,,IRBID,12,M,,,
467,SYR,F,abject,Irbid,7,F,,,
468,SYR,M,absolute,Irbid,16,F,,,
469,SYR,M,,IRBID,7,M,,,
470,SYR,F,abject,Irbid,14,F,,,
471,SYR,F,abject,Irbid,16,F,,,
472,SYR,M,,Ajloun,9,F,,,
473,SYR,M,absolute,Irbid,5,F,,,
